,text,user_id,score,hostel,location,link
500,"The best out of a bad lot, gotta be the best hostel out of the Chungking mansions. Cheap, clean, safe: yeah i'd go back there...I did twice.  ",2444638,7.3,Park Guest House,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Park-Guest-House/Hong-Kong/27376
501,"Be prepared for the bands that play every night, they are very loud. If you can cope with this, this place is ok for a night or two. ",2444638,7.0,Lloyds Hotel Backpackers,"Launceston, Australia",http://www.hostelworld.com/hosteldetails.php/Lloyds-Hotel-Backpackers/Launceston/18146
502,"Nice bath-house, spotlessly clean, big enough rooms, definitely value for money: so cheap. Good location: close to subway & JR and Den Den Town and Tennoji, cannot go wrong with this hotel.",2444638,8.0,Hotel Chuo Selene,"Osaka, Japan",http://www.hostelworld.com/hosteldetails.php/Hotel-Chuo-Selene/Osaka/12032
503,"Great place, I'd definitely stay there again. Clean, great location, great staff, best for everything in KL. Do the Red Palm. ",2444638,9.0,Red Palm,"Kuala Lumpur, Malaysia",http://www.hostelworld.com/hosteldetails.php/Red-Palm/Kuala-Lumpur/8877
504,"I'd recommend this place, the best place to stay in Fukuoka/Hakata. Location is its best point. And the Japanese breakfast will fill you to the brim.",2444638,8.0,Japanese Ryokan Kashima Honkan,"Fukuoka City, Japan",http://www.hostelworld.com/hosteldetails.php/Japanese-Ryokan-Kashima-Honkan/Fukuoka-City/5638
505,"It was ok for a short stay in Sapporo. 
Pretty good location: close to Susukino and the nightlife, and close to all forms of public transport. But it's really quiet, which is perfect for a place to sleep. ",2444638,7.7,Marks Inn Sapporo,"Sapporo, Japan",http://www.hostelworld.com/hosteldetails.php/Marks-Inn-Sapporo/Sapporo/17158
506,"My 2nd stay here in a few months. No complaints whatsoever, apart from the midnight curfew: a real killer!",2444638,7.3,Hotel Chuo,"Osaka, Japan",http://www.hostelworld.com/hosteldetails.php/Hotel-Chuo/Osaka/11873
507,"Perfect location, nice-enough front desk staff, spotlessly clean. The rooms are equipped with air conditioning and a fridge, perfect for a Japanese summer.  And the security is very good. But the killer: the 12 midnight curfew...Nonetheless, I'd definitely stay here again no problems. ",2444638,7.7,Hotel Chuo,"Osaka, Japan",http://www.hostelworld.com/hosteldetails.php/Hotel-Chuo/Osaka/11873
508,"The staff are generally pretty good and nice, but there's one guy who's a bit nasty, and can be a bit of an arrogant pig at times: ""especially in the morning"". Impossible to find, you must ring them before you arrive. Pretty central and close to convenient subway to see the sights of Seoul. And walking distance to Dondaemun Market which is choice.  I'll come back here, despite the staff guy.   ",2444638,7.7,Hostel Korea,"Seoul, South Korea",http://www.hostelworld.com/hosteldetails.php/Hostel-Korea/Seoul/13176
509,"the bar is too expensive, better lower the prices, more people go and chat for fun gathering place",1231624,4.7,PLUS Camping Roma,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/PLUS-Camping-Roma/Rome/6268
510,"The location is great, in a very lively street in the city center, but the place is too small and lacks of ""intimacy"" (can't close the toilets, shared showers, noisy dormitories whenever you're not lucky with your neighboors)",1521232,6.7,Sweet Moscow - Old Arbat,"Moscow, Russia",http://www.hostelworld.com/hosteldetails.php/Sweet-Moscow-Old-Arbat/Moscow/15323
511,"The location of this hostel is very good as it is next to a convenient subway station> The place is nice and stylish, although very cold in winter, even in the restaurant or in the room (no heating, only a climatizer that has instructions in chinese). It seems it could be  a perfect place but a bit disappointing in the end if you stay for long: a lot of things are ""broken"" (pool, babyfoot, computers, no rice left for dinner...)",1521232,8.0,City Central International Hostel,"Shanghai, China",http://www.hostelworld.com/hosteldetails.php/City-Central-International-Hostel/Shanghai/14467
512,A wonderful place in a sweet little town with an ambitious and friendly host. A very personal touch and recommended for people who travel alone ,4073989,9.3,Newport International Hostel,"Newport RI, USA",http://www.hostelworld.com/hosteldetails.php/Newport-International-Hostel/Newport-RI/8394
513,I will recommend this hostel to my friends. Just what I hope is that breakfast is improved a little. Thank you very much.,3508814,10.0,Backpackers-Duesseldorf,"Dusseldorf, Germany",http://www.hostelworld.com/hosteldetails.php/Backpackers-Duesseldorf/Dusseldorf/5366
514,"a large common area, well equiped kitchen. Maybe this is the best hostel in Dublin.",4984148,6.7,Ashfield Hostel,"Dublin, Ireland",http://www.hostelworld.com/hosteldetails.php/Ashfield-Hostel/Dublin/103
515,"This is a home, so nice! A great place to stay, surely to recommend!",4984148,9.0,Dubrovnik Backpackers Club,"Dubrovnik, Croatia",http://www.hostelworld.com/hosteldetails.php/Dubrovnik-Backpackers-Club/Dubrovnik/18950
516,The owner is very friendly and helpful!,4984148,8.7,Fulir Hostel Zagreb,"Zagreb, Croatia",http://www.hostelworld.com/hosteldetails.php/Fulir-Hostel-Zagreb/Zagreb/15952
517,"Only the location is a little bit far away, have to take 15 minutes bus to the center. Other things are alright.",4984148,6.3,Aladin hostel,"Ljubljana, Slovenia",http://www.hostelworld.com/hosteldetails.php/Aladin-hostel/Ljubljana/16472
518,a good place for taking rest,4984148,6.0,Student's Hostel Estense,"Ferrara, Italy",http://www.hostelworld.com/hosteldetails.php/Student-s-Hostel-Estense/Ferrara/28041
519,This is the best placed I've even stayed! A great joy!,4984148,9.7,Giovanni's Home,"Naples, Italy",http://www.hostelworld.com/hosteldetails.php/Giovanni-s-Home/Naples/16742
520,"Poor maintance of this hostel, all facilities are broken.
But the people here are really nice.",4984148,3.7,Fiesta Terrace Hostel,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/Fiesta-Terrace-Hostel/Rome/6642
521,It more like a hotel than a hostel. Many facilities have not ready yet as the new opening.,4984148,7.0,PLUS Florence,"Florence, Italy",http://www.hostelworld.com/hosteldetails.php/PLUS-Florence/Florence/22996
522,"this hostel full of teenage, they run and shout exactly outside the room door for a whole night!
And I tried the worst shower here.",4984148,6.0,Downtown-Lodge,"Grindelwald, Switzerland",http://www.hostelworld.com/hosteldetails.php/Downtown-Lodge/Grindelwald/8456
523,This hostel has everything you need. The staff are friendly and knowledgable and the location is perfect for being in the city centre. I would definitely recommend Albatross.,2712154,9.3,Albatross,"Newcastle upon Tyne, England",http://www.hostelworld.com/hosteldetails.php/Albatross/Newcastle-upon-Tyne/14250
524,"Brilliant hostel, great location. I'd highly recommend it.",2487586,10.0,A&O Berlin am Zoo,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/A-and-O-Berlin-am-Zoo/Berlin/1372
525,"good location, near the city center but the cleanness was not the priority in this hostel ",1696890,6.0,Sunny's Adelaide Backpackers Hostel,"Adelaide, Australia",http://www.hostelworld.com/hosteldetails.php/Sunny-s-Adelaide-Backpackers-Hostel/Adelaide/11310
526,the hostel was big and not very friendly it alos had just one slow computer for the whole hostal so you had to que to use it,4350529,6.7,Youth Hostel Zagreb,"Zagreb, Croatia",http://www.hostelworld.com/hosteldetails.php/Youth-Hostel-Zagreb/Zagreb/29828
527,"You have to stay here in Belgrad. It is more like a hotel with extra room guests ha. Cleaned to perfection. Friendly. Best hostel ive stayed in. Cute small kitchen.Strong shower big spacious bathroom. On arrival we got a local shot, strong ! Slippers and bathrobe made it feel like a spa. The whole place was great, good local food recomendations.Both owners so kind offered me medicine from their home for my moskito bites. Really abouv and beyond the call of duty. 100 % for everyting.EC female 26",4350529,10.0,Spirit Hostel,"Belgrade, Serbia",http://www.hostelworld.com/hosteldetails.php/Spirit-Hostel/Belgrade/38912
528,"Really lovly staff,kind and friendy. Made us a dream coffee in the morning and took time to explain the sights.Most homly place I have been too.Common room was very comfy and relaxed they had laid o9ut sweet bowls and you could make hot drinks whenever u fancy. Cute kitchen. Very clean.1st hostel we stayed in that our beds had been made for us.Cool building good for the hot weather.City tour and boat tour cost 14 euros well worth it,all day bus pass is 4 euros EC & Matt age 27 UK",4350529,10.0,Goat Hostel,"Budapest, Hungary",http://www.hostelworld.com/hosteldetails.php/Goat-Hostel/Budapest/21850
529,"Best staff we have met funny and kind. Very friendly atmosphere in general.Cute bullodog.Nice outdoor chill out area. Simple breakfast.Nice kitchen.Bar downstairs with fusball table.Recomended good local cheap cuisine. Local food market 2 mins away for best prices, fill your water bottles befor going out to save too.Let us leave our bags all day after we had checked out.Free internet and clean bedding. Ensuit shower. ..was great, cheap,stunning city. EC & Matt age 27",4350529,10.0,Hostel Possonium,"Bratislava, Slovakia",http://www.hostelworld.com/hosteldetails.php/Hostel-Possonium/Bratislava/19652
530,"Noisy, terrible toilet, bit scary area specially when it gets dark, no double bed(twin), cold feeling in the room, no reception from 2pm. However is extremelly close to train station and tram station. ",3326590,4.9,Nice Art Hotel,"Nice, France",http://www.hostelworld.com/hosteldetails.php/Nice-Art-Hotel/Nice/62074
531,"Need to experience! very clean, good price and actually comfortable bed inside capsule. Perfect location. Reccomended to everyone.",3326590,7.7,Capsule Hotel Asahi Plaza Shinsaibashi,"Osaka, Japan",http://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Asahi-Plaza-Shinsaibashi/Osaka/31163
532,"I felt very comfortable there. It's a warm and cosy place and the beds are great!Good location, Maybe a bathroom more it wouldn't be bad. Clean. Great the free internet+webcam, books and games.",3326590,8.7,Auberge L'Apero,"Montreal, Canada",http://www.hostelworld.com/hosteldetails.php/Auberge-L-Apero/Montreal/35085
533,"Friendly staff, clean rooms.  Our stay was very nice.  Middle of the city, so it was near most things... just a couple minute walk to the museum!",2964797,10.0,Luna Hostel,"Cairo, Egypt",http://www.hostelworld.com/hosteldetails.php/Luna-Hostel/Cairo/3607
534,"Comfortable stay, friendly staff.  Large room, quiet... good AC!",2964797,10.0,Luna Hostel,"Cairo, Egypt",http://www.hostelworld.com/hosteldetails.php/Luna-Hostel/Cairo/3607
535,"Didn't clean our room for 3 days, ended up having to ask for new towels which they tried to charge us for when we left. Kicked up a huge fuss when a friend tried to leave their bags with us. 
It's only 30 baht to get to Bangla Rd on a motorbike taxi, and it's not smack bang in the middle of the touristy area of Patong, so good for relaxing, and they make a good sandwich.. Just bring your own broom and towels.",1932600,5.0,Jinny,"Phuket Patong Beach, Thailand",http://www.hostelworld.com/hosteldetails.php/Jinny/Phuket-Patong-Beach/12663
536,"Absolutely loved my stay at this hostel. Enjoyed every minute. Spaghetti party rocked, sangria night rocked.
Staff were a dream, rooftop terrace has awesome views of the city, and its right near Termini.

Muchly recommended",1932600,9.7,Casa Olmata,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/Casa-Olmata/Rome/764
537,"Loved my time at International Budget. All the staff (except one) were absolutely exceptional and helped me out with everything. Only problem was with the closure of the common area and reception. Would be awesome if it stayed open!

Thanks again!",1932600,9.3,International Budget Hostel,"Amsterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/International-Budget-Hostel/Amsterdam/619
538,"This has been by far the best hostel i've ever stayed at. Staff were awesome, helping at every turn with everything, very clean, and a very good location.
Have been recommending it to everyone i meet who is going to Budapest.

Awesome.",1932600,10.0,Central Backpack King,"Budapest, Hungary",http://www.hostelworld.com/hosteldetails.php/Central-Backpack-King/Budapest/11707
539,Wonderful place to stay!,1735214,10.0,Fireside Inn,"Breckenridge, USA",http://www.hostelworld.com/hosteldetails.php/Fireside-Inn/Breckenridge/843
540,"The hostel is under construction but when it is done, its going to be shiny and fantastic and very cool.  its decorated well and has a great location.  it does not have internet and the common room is more of a eating space so its not conducive to meeting people, but its really clean and has great wallpaper and close to many cool things.",4520862,8.3,Oops! Design Hostel - Latin Quarter,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Oops-Design-Hostel-Latin-Quarter/Paris/22773
541,"the hostel is really expensive.  its rooms are clean enough and the bathrooms are really clean.  when i was there it was busy and the other time i stayed someone who had shot  himself up with heroin was lying passed out on the stairs, just to give you an idea of the kind of security/neighbourhood.  however, its centrally located and just fine. ",4520862,6.7,Frankfurt Hostel,"Frankfurt, Germany",http://www.hostelworld.com/hosteldetails.php/Frankfurt-Hostel/Frankfurt/485
542,"the hostel is ten minute walk from station.  the walk is a bit residential and dark so if you are by yourself its a bit weird.  i found the hostel itself to be nice enough, but a bit dingy.  the people that work there are extremely nice but the place is dirty. i can see stains on all the duvets and pillows and mattresses-  a girl threw up in the common room while i was there as well. the free internet is nice and lovely but otherwise. . .",4520862,5.7,Pegasus Hostel,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/Pegasus-Hostel/Berlin/702
543,"toilet door was broken, a part from this it wasnt too bad",2890236,7.0,Lybeer Travellers' Hostel,"Bruges, Belgium",http://www.hostelworld.com/hosteldetails.php/Lybeer-Travellers-Hostel/Bruges/2393
544,"VERY friendly staff, would reccommend this place",2890236,6.7,Residence les Ecrins,"Brussels, Belgium",http://www.hostelworld.com/hosteldetails.php/Residence-les-Ecrins/Brussels/1423
545,"very small! The bed was so small it was uncomfortable. Friendly staff. Good location, but way too small!!!",2890236,4.7,ArtHotel city,"Nuremberg, Germany",http://www.hostelworld.com/hosteldetails.php/ArtHotel-city/Nuremberg/11932
546,way too small. The check inis very inpersonal. You have to check in via an electorical terminal. Not good,2890236,5.7,Motel One Kassel,"Kassel, Germany",http://www.hostelworld.com/hosteldetails.php/Motel-One-Kassel/Kassel/9312
547,"This was a great hostel.  Good people, great rooms, local charm, amazing roof terrace for a few drinks and chats.  I certainly recommend this hostel to anyone staying in Seville.",2544190,10.0,Nuevo Suizo,"Seville, Spain",http://www.hostelworld.com/hosteldetails.php/Nuevo-Suizo/Seville/6753
548,"Great place to stay for anyone wanting a little Spainish charm mixed with a clean, friendly and well located spot.",2544190,10.0,Nuevo Suizo,"Seville, Spain",http://www.hostelworld.com/hosteldetails.php/Nuevo-Suizo/Seville/6753
549,No customer comment,4369699,8.6,MEININGER Brussels City Center,"Brussels, Belgium",http://www.hostelworld.com/hosteldetails.php/MEININGER-Brussels-City-Center/Brussels/68924
550,"Great a/c, fridge, TV, a safe for storage,  great drinks at the restaurant but the food was terrible, internet could be used if you bought a drink and sometimes got very busy (4 computers available)",2349422,7.7,Mango Rooms,"Rhodes, Greece",http://www.hostelworld.com/hosteldetails.php/Mango-Rooms/Rhodes/387
551,great place with clean sheets but breakfast of croissant and roll is a bit monotonous.,2349422,6.0,Hotel Belfort,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Hotel-Belfort/Paris/6114
552,"a great place wth great staff who welcome you and go out of their way for you, lockers in rooms and safe boxes available, can store luggage and pick it up later in day. A bit out of the way to find but very handy for port for ferries!",2349422,9.3,Hostel of the Sun,"Naples, Italy",http://www.hostelworld.com/hosteldetails.php/Hostel-of-the-Sun/Naples/1552
553,"Disgusting grotty, worst toilets and showers I have seen anywhere! Showering in 5 inches of other peoples water and dirtiest smelliest toilets! No way to lock our room from the inside and shutters that didnt close on windows, no security lockers. Food ranged from good to awful and vegetarians are served after everyone else has FINISHED their meal. Watch out for the tab system where you pay at the end, we were overcharged on a few things (doubled up) and because nothing has prices, its up to owner to make up prices (sandwiches were charged at a higher price than they were on the chalkboard). Nowhere to escape bad karaoke til 4 am then soundtrack of Grease at 8am blaring out... and Pete Murray played 8 - 10 times a day because the girls who work there like him...Beach is great and only short walk away but its a steep hill climb to get bus to town. Watch out for mozzies at nite!",2349422,4.7,Sunrock,"Corfu, Greece",http://www.hostelworld.com/hosteldetails.php/Sunrock/Corfu/663
554,"Don't go there! Unfriendly staff who barely say a word, and smoke all through breakfast (which is bread with toppings) whilst sitting near you, construction work going on metres away from houseboat with jackhammers, trucks etc, no spare blankets if you are cold, no contact details if you have to cancel booking, I'll never go back.",2349422,2.0,Hostel Boat The Clipper,"Rotterdam, Netherlands",http://www.hostelworld.com/hosteldetails.php/Hostel-Boat-The-Clipper/Rotterdam/4828
555,"Excellent location close to metro, shops, doctor, pharmacy, bars, niteclubs, tourist sites etc! Friendly helpful staff too.  3 improvements: hot water in kitchen to wash dishes, more than 3 toilets for entire hostel, and clear instructions on how to recognise where the hostel is in the maze of buildings!",2349422,9.7,Sant Jordi Diagonal Hostel,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Sant-Jordi-Diagonal-Hostel/Barcelona/13017
556,"walls are very thin and every conversation and tv channel was heard next door, take jumbo size ear plugs. Lots of stairs so take little luggage. Far end of town but still walkable.",2349422,6.7,Citi Hostels,"Dublin, Ireland",http://www.hostelworld.com/hosteldetails.php/Citi-Hostels/Dublin/8271
557,Bobi is the best !!!,3194579,8.7,City Hostel,"Skopje, Macedonia",http://www.hostelworld.com/hosteldetails.php/City-Hostel/Skopje/35903
558,"Very clean and pretty hostel.  The rooms give you the feeling that you are actually staying on a 3 star hotel.  We stayed on a 3 people room with bathroom.  Very clean and quiet.

The only thing is that when we arrived there were a group of people that were trying to check-out that had a bad incident.  They found an open condom in their room when they came back from visiting Venice.  There was no one on the front desk (until noon at check-in) and they were having problems locating the owner to make the complain.  They end up calling the police and reporting the incident.

The thing is that there was this 'guy' that had checked-them-in when they arrived that was now saying that he didn't worked there... so buy 1 pm we were still waiting for check-ing.  After the police arrive and filled the paperwork, the group left and magically the same 'guy' now an employee checked-us in.  Very weird.  I was already calling my travel insurance to get a different hostel.

Most of the time there is no-one at the front desk.  They give you a key for your room and a key to the front door.  At check-out you leave the key in the front desk.  Not too much security, and if you arrive early as us (11 AM) you will have to wait around until the 'employee' appears.

If it wasn't for the long wait and the incident during the first day... I'll say we did pretty good.",3998917,6.0,Charme Inn,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/Charme-Inn/Venice/17187
559,The room i stayed in had 6 other people. a very small window. so it was very warm in there. 2 fans didn;t provide much cooling. they say no noise after 12am but on my first night there some people came into our room and brought another girl that wasn't supposed to be there they were all drunk and one of them kept throwing up all night! the next night some other people on our floor had a party. they said 'no drinks' but they were all walking upstairs with drinks in their hands. anyone can walk inside the hostel because no one really checks anything. it's just a sliding door at the front. location isn't to bad in the heart of everything. but needs better ventalation system,1134916,4.0,Sun & Moon Hostel,"Barcelona, Spain",http://www.hostelworld.com/hosteldetails.php/Sun-and-Moon-Hostel/Barcelona/7169
560,"I thought the apartments were great. They were perfect for my son and myself. The one bedroom was fabulous as it was equipped with a micrwave, fridge, stove, washing machine, TV, DVD, Air Con and heating, and all necessary dishes and cooking utensils. The location was very convenient,- 6 minute walk to subways, Quajude Peking Duck restaurant, Sogo shopping, and luilichang (Sp?) market street.
The service was also terrific with Cin meeting us at the apartment and always available on her mobile phone. The price was very reasonable and very good value for the money. I strongly recommend this as an alternative to a regular hotel. ",3746486,10.0,Stay-in-Beijing Serviced Apartments,"Beijing, China",http://www.hostelworld.com/hosteldetails.php/Stay-in-Beijing-Serviced-Apartments/Beijing/14872
561,"the staff were extremely unhelpful, and downright rude at times, otherwise the location is awesome, just seconds awayfrom all the trails and downtown. Its also frustrating not being able to get into your room from 10:30-4pm",4625408,6.3,Balmers Hostel,"Interlaken, Switzerland",http://www.hostelworld.com/hosteldetails.php/Balmers-Hostel/Interlaken/715
562,"Good location. Breakfast is a buffet of break, cake, croissant, with juice & hot drinks served. Staff is very friendly & accommodating.",4927852,7.0,Hotel Cortorillo,"Rome, Italy",http://www.hostelworld.com/hosteldetails.php/Hotel-Cortorillo/Rome/5831
563,"Very close to train station. Breakfast is a buffet of croissant, bread, cereal, milk, juice, with a machine making hot drinks. Room is of average. Overall I am satisfied with my stay.",4927852,6.7,Hotel Duca d'Aosta,"Florence, Italy",http://www.hostelworld.com/hosteldetails.php/Hotel-Duca-d-Aosta/Florence/17688
564,"Very good location!!! Nice breakfast (buffet of cereal, milk, bread, croissant, yogurt)! No elevator though. There is a hairdryer in the bathroom. I tried to plug in my own hairdryer in the room, but the power went off. It's not a big deal, as I am quite satisfied with my stay in this hotel. Location and breakfast worth the price.",4927852,7.7,Alloggi Agli Artisti,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/Alloggi-Agli-Artisti/Venice/8065
565,Friendly staff. The room amenities are good. Room temperature is not warm enough for me though.,4927852,7.3,Hotel Falken,"Lucerne, Switzerland",http://www.hostelworld.com/hosteldetails.php/Hotel-Falken/Lucerne/11036
566,"Nice location, quite at night though. Lots of shops and restaurants that are not too expensive. Close to metro and Sacre Coeur. A few stations from Moulin Rouge and Gare du Nord. Breakfast is served at around 7-10am. Normally each person has a big bun and a croissant, juice and hot drinks. It\\\'s enough for your stomach for a few hours, very nice. Some of the staff are not too friendly, but some are nice. All in all, I am satisfied with my stay and I would recommend this hotel.",4927852,7.0,Hotel Luxia,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Hotel-Luxia/Paris/6091
567,thank you for a nice stay in venice!,1424242,8.0,Nuova Locanda Belvedere,"Venice, Italy",http://www.hostelworld.com/hosteldetails.php/Nuova-Locanda-Belvedere/Venice/1895
568,"great low cost place to stay at the airport, staff fantastic.",2246722,8.7,Highway Inn,"Christchurch, New Zealand",http://www.hostelworld.com/hosteldetails.php/Highway-Inn/Christchurch/13377
569,Shuttle service cancelled with out notice leaving myself and others without transport. ,2246722,8.0,Mountain House Arthurs Pass,"Arthurs Pass, New Zealand",http://www.hostelworld.com/hosteldetails.php/Mountain-House-Arthurs-Pass/Arthurs-Pass/27209
570,basic but very clean and well maintained,2246722,6.0,Hostel Allende,"Morelia, Mexico",http://www.hostelworld.com/hosteldetails.php/Hostel-Allende/Morelia/2752
571,Everything was perfect except for the noise. From the rooms you can hear everything people talk in the terrace/corridors until they go to sleep (2 am). The restaurant is very good and cosy. Everyone was helpful and everything is very easy. Bathrooms are very clean and I never had to queue to have a shower. I met a lot of locals who were just there having fun. Very convenient before I settle down in Kunming.,3654099,8.0,Kunming Cloudland International Youth Hostel,"Kunming, China",http://www.hostelworld.com/hosteldetails.php/Kunming-Cloudland-International-Youth-Hostel/Kunming/12661
572,"The fact that the rooms did not have window annoyed me quite a lot, but for just one night it was all pretty good.",3654099,8.0,Shanghai Hidden Garden Youth Hostel,"Shanghai, China",http://www.hostelworld.com/hosteldetails.php/Shanghai-Hidden-Garden-Youth-Hostel/Shanghai/33628
573,Everything was ok except the first night when we found a person sleeping in one of our booked beds. The recepcionist got a solution and found another bed for this person but one of my friends had to take off the dirty sheets herself and make the bed.That got us very pissed but fortunately the incident didn't last long time.,3654099,8.0,St Christopher's Berlin,"Berlin, Germany",http://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Berlin/Berlin/17515
574,"Santiago de Compostela is an amazing place. This was quite possibly the nicest hostel I've ever stayed in: its brand new; everything functions properly;  hardwood floors; nice bathrooms; perfect location; and the nicest employees. Right in the center of a big plaza, however still difficult to find-i would suggest a sign above the door if that's not already planned. ",2499359,10.0,Meiga Backpackers,"Santiago de Compostela, Spain",http://www.hostelworld.com/hosteldetails.php/Meiga-Backpackers/Santiago-de-Compostela/14402
575,"Two girls in Egypt, we heard about the hassles and were hesitant when Ramadan (the owner) and Sayed(taxi driver for Pension Vienna) invited us out for food and sheesha.  We had an amazing time experiencing life of the locals.  Got lost in Cairo the first day, we picked and inclusive package (transportation, hotel, flucca) with them as we checked and couldn't find a more reasonable deal around.  We thought surely there must be a catch but all I can tell you now is that we had the most amazing 10 days in Egypt...no hassle and no visit to any factories.  Sayed even helped us booked flight from Luxor to Dubai; also checked but couldn't find anything cheaper.  Thank-you Ramadan and Sayed for taking care of us.  We had an awesome time in Egypt.",3288634,9.7,Pension Vienna,"Cairo, Egypt",http://www.hostelworld.com/hosteldetails.php/Pension-Vienna/Cairo/8871
576,"No electricity in the dorms, thats to bad. Nice staff. Social room closing at 12.00. ",1163312,7.0,The Wanderers Inn,"New York, USA",http://www.hostelworld.com/hosteldetails.php/The-Wanderers-Inn/New-York/2403
577,"wonderful wonderful wonderful. make sure you make use of the japanese style bath. rooms a little snug, but really a very nice stay indeed. the couple running the place are great.  ",3451464,9.7,Backpackers Hostel Ks House Hakuba Alps,"Nagano (Hakuba), Japan",http://www.hostelworld.com/hosteldetails.php/Backpackers-Hostel-Ks-House-Hakuba-Alps/Nagano-Hakuba/14797
578,The main issue for us was the tiny room and the absence of any form of sound proofing. Would we stay there again - probably yes as there are barely any alternatives for this price. Staff were very nice I must add. ,3451464,6.7,Fukuoka Backpackers Hostel,"Fukuoka City, Japan",http://www.hostelworld.com/hosteldetails.php/Fukuoka-Backpackers-Hostel/Fukuoka-City/18592
579,"worth staying here for a couple of nights. the pool was good and happy hour was useful! 
only real reason to stay in pac harbour is for the shark dive. use aqua trek. ",3451464,8.0,Tsulu,"Pacific Harbour, Fiji",http://www.hostelworld.com/hosteldetails.php/Tsulu/Pacific-Harbour/16078
580,"If you want a quiet time, go for the Hillside rooms. Three rooms share a large kitchen, one of which is en-suite. ",3451464,8.0,Vara's Beach House,"Rarotonga, Cook Islands",http://www.hostelworld.com/hosteldetails.php/Vara-s-Beach-House/Rarotonga/13736
581,"Very nice room in an exzellent location. The Staff is very helpful and friendly. If we come back to Hongkong, that will bei our choice for sure!!",1459219,9.7,Hong Kong Hostel,"Hong Kong, Hong Kong",http://www.hostelworld.com/hosteldetails.php/Hong-Kong-Hostel/Hong-Kong/16037
582,Fint sted. HÃ¥ndvaskene er ikke sÃ¥ anvendelige til vask af kontaktlinser og sokker!!,4600639,9.7,Inn Possible Lisbon Hostel,"Lisbon, Portugal",http://www.hostelworld.com/hosteldetails.php/Inn-Possible-Lisbon-Hostel/Lisbon/83892
583,You need nice sittingrooms. The corridors are very boring.,4600639,7.1,Jugendherberge Augsburg,"Augsburg, Germany",http://www.hostelworld.com/hosteldetails.php/Jugendherberge-Augsburg/Augsburg/34876
584,"Fin service med vÃ¦kning og en madpakke med, da jeg skulle med et tidligt tog.
Langt til toilet fra vÃ¦relset.
Klokken 01.00 blev vi vÃ¦kket af en ny beboer, der skramlede og skulle rede seng. Klokken 23.00 burde vÃ¦re sidste frist for indlogering.",4600639,7.4,Montana Youth and Family Hostel,"Bergen, Norway",http://www.hostelworld.com/hosteldetails.php/Montana-Youth-and-Family-Hostel/Bergen/9181
585,"We were satisfied with our stay at The American Deam Hostel. Kindly people and interesting guests to talk with.Good breakfast. The hostek is well situated in New York.
What was needed: A little sitting room.
In the rooms: chairs, racks for coats and towels, a shelf at the washing tub. Thermostats in the shower and at the radiators would save energy and money!
Some advices from a Dane! 
Kindly regards Mette E.Boesen",4600639,7.3,American Dream Hostel,"New York, USA",http://www.hostelworld.com/hosteldetails.php/American-Dream-Hostel/New-York/809
586,"The beedroom was okay - but we needed a table and some chairs. And we needed bedlamps. 
And for your own sake, the tap used too much water.
Eating breakfast in the bacpackers kitchen wasn't nice!  A small uncosy room without windows. We have never experienced things like that at other European Hostels. Where is ""the creme de la creme"" that you write about in your description of Jacobs Inn?
There was a nice restaurant at the Jacobs Inn - why don't you use that for breakfast?!
There was sittingplace for about 24 persons in the kitchen! I asked in the reception have many guests there was room for - 426 she told me. How can so many people have their breakfast in that small room??!
We also needed nice sittingrooms.

Greetings from a danish family aged from 17 - 54 years",4600639,5.0,Jacobs Inn,"Dublin, Ireland",http://www.hostelworld.com/hosteldetails.php/Jacobs-Inn/Dublin/110
587,No customer comment,3427336,10.0,Lisbon Lounge Hostel,"Lisbon, Portugal",http://www.hostelworld.com/hosteldetails.php/Lisbon-Lounge-Hostel/Lisbon/11827
588,No customer comment,3427336,10.0,Astor Museum Inn,"London, England",http://www.hostelworld.com/hosteldetails.php/Astor-Museum-Inn/London/520
589,"Small, simple guest house. Everything is running fine and clean. The host, Kenzo, was a nice guy. We had a hotpot dinner together with his wife and him and other guests during our stay.

Note to light sleeper: It's on the main street. So, bring earplugs with you and it will be alright.",2572637,9.0,EZstay Taipei Main Station,"Taipei, Taiwan",http://www.hostelworld.com/hosteldetails.php/EZstay-Taipei-Main-Station/Taipei/35535
590,"Good hotel in every aspect. Nothing standing out though. Breakfast is a bit poor, but it's close to a supermarket, so we bought when we wanted (ham, cheese, yogurt, fruit) to breakfast table and everything is good.",2572637,7.3,Perfect Hostel,"Paris, France",http://www.hostelworld.com/hosteldetails.php/Perfect-Hostel/Paris/14156
